Code service CH;Reference document;1 Articles CGI;2 Articles CGI;3 Articles CGI;4 Articles CGI;5 Articles CGI;No disposition;Date mutation;Nature mutation;Valeur fonciere;No voie;B/T/Q;Type de voie;Code voie;Voie;Code postal;Commune;Code departement;Code commune;Prefixe de section;Section;No plan;No Volume;1er lot;Surface Carrez du 1er lot;2eme lot;Surface Carrez du 2eme lot;3eme lot;Surface Carrez du 3eme lot;4eme lot;Surface Carrez du 4eme lot;5eme lot;Surface Carrez du 5eme lot;Nombre de lots;Code type local;Type local;Identifiant local;Surface reelle bati;Nombre pieces principales;Nature culture;Nature culture speciale;Surface terrain;Code parcelle;Code INSEE;Section prefixe;groupe
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-06-01";"Vente";"59800";"26";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"133";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";0
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-24";"Vente";"112000";"9001";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"276";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2018-05-24";"Vente";"112000";"3";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"163";"61";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"61.0";"3.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";1
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-21";"Vente";"115000";"14";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"125";"None";"5";"46";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"46.0";"2.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";3
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-22";"Vente";"60000";"24";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"40";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-22";"Vente";"60000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"203";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";4
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-22";"Vente";"58000";"3";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"122";"26";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";6
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-09";"Vente";"128850";"3";"None";"SQ";"1452";"GABRIEL AUGUSTE ANCELET";"60200";"COMPIEGNE";"60";"159";"None";"AM";"237";"None";"23";"139";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"140.0";"6.0";"None";"None";"nan";"60159000AM0237";"60159";"000AM";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-09";"Vente";"128850";"3";"None";"SQ";"1452";"GABRIEL AUGUSTE ANCELET";"60200";"COMPIEGNE";"60";"159";"None";"AM";"237";"None";"23";"139";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4.0";"Local industriel. commercial ou assimilé";"None";"272.0";"0.0";"None";"None";"nan";"60159000AM0237";"60159";"000AM";7
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-14";"Vente";"62000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"208";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-14";"Vente";"62000";"24";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"45";"26";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";9
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-02";"Vente";"67650";"3";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"94";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-12-02";"Vente";"67650";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"238";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";11
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-29";"Vente";"96500";"9001";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"270";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";13
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-29";"Vente";"96500";"3";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"157";"72";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"73.0";"4.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";13
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-25";"Vente";"64000";"26";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"144";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";15
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-11-02";"Vente";"112000";"14";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"18";"64";"50";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";16
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-10-06";"Vente";"130000";"15";"None";"RUE";"3475";"DU 67 REGIMENT INFANTERIE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"114";"45";"155";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"44.0";"2.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";17
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-08-22";"Vente";"65000";"3";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"91";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";18
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-29";"Vente";"145000";"5";"None";"RUE";"3720";"DU VIVIER CORAX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"164";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"86.0";"5.0";"S";"None";"677.0";"60159000AM0164";"60159";"000AM";19
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-28";"Vente";"63000";"1";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"63";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";20
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-07-22";"Vente";"252000";"9";"None";"SQ";"0576";"CHANEL";"60200";"COMPIEGNE";"60";"159";"None";"AM";"91";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"107.0";"6.0";"S";"None";"398.0";"60159000AM0091";"60159";"000AM";21
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-28";"Vente";"72000";"3";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"106";"26";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";22
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-22";"Vente";"53000";"1";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"75";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";23
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-16";"Vente";"50000";"1";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"67";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";24
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-06-16";"Vente";"50000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"230";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";24
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-28";"Vente";"110000";"3";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"165";"72";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"73.0";"4.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";26
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-28";"Vente";"110000";"9001";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"282";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";26
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-29";"Vente";"68000";"26";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"153";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";28
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-24";"Vente";"237000";"15";"None";"SQ";"0034";"DES ABBESSES";"60200";"COMPIEGNE";"60";"159";"None";"AM";"27";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"129.0";"8.0";"S";"None";"450.0";"60159000AM0027";"60159";"000AM";29
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-18";"Vente";"64000";"1";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"78";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";30
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-18";"Vente";"64000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"158";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";30
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-04-01";"Vente";"241500";"13";"None";"SQ";"0275";"DE L AUBEPINE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"70";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"145.0";"6.0";"S";"None";"232.0";"60159000AM0070";"60159";"000AM";32
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-03-01";"Vente";"95000";"15";"None";"RUE";"3475";"DU 67 REGIMENT INFANTERIE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"112";"62";"148";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"61.0";"3.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";33
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-01-31";"Vente";"65000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"172";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";34
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-01-31";"Vente";"65000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"15";"31";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";34
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-01-20";"Vente";"145000";"15";"None";"RUE";"3475";"DU 67 REGIMENT INFANTERIE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"108";"65";"146";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";36
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-01-26";"Vente";"72000";"3";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"162";"54";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"52.0";"2.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";37
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-02-01";"Vente";"172000";"8";"None";"SQ";"0275";"DE L AUBEPINE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"65";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"95.0";"5.0";"S";"None";"244.0";"60159000AM0065";"60159";"000AM";38
"None";"None";"None";"None";"None";"None";"None";"000001";"2017-01-18";"Vente";"225000";"9";"None";"SQ";"0275";"DE L AUBEPINE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"66";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"121.0";"7.0";"S";"None";"275.0";"60159000AM0066";"60159";"000AM";39
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-16";"Vente";"127000";"15";"None";"RUE";"3475";"DU 67 REGIMENT INFANTERIE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"116";"63";"150";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"61.0";"3.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";40
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-17";"Vente";"100000";"9001";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"262";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";41
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-17";"Vente";"100000";"5";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"214";"60";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"61.0";"3.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";41
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-02";"Vente";"62000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"13";"27";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";43
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-12-02";"Vente";"62000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"170";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";43
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-11-19";"Vente";"140000";"14";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"22";"64";"52";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"65.0";"3.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";45
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-10-21";"Vente";"63000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"181";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";46
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-10-21";"Vente";"63000";"26";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"129";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";46
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-09-30";"Vente";"57000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"240";"25";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"25.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";48
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-09-30";"Vente";"57000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"185";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";48
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-09-12";"Vente";"134000";"14";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"37";"61";"75";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"61.0";"3.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";50
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-09-19";"Vente";"405000";"1";"None";"SQ";"0576";"CHANEL";"60200";"COMPIEGNE";"60";"159";"None";"AM";"83";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"136.0";"6.0";"S";"None";"454.0";"60159000AM0083";"60159";"000AM";51
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-08-24";"Vente";"247000";"21";"None";"RUE";"3530";"DE STALINGRAD";"60200";"COMPIEGNE";"60";"159";"None";"AM";"152";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"124.0";"6.0";"S";"None";"364.0";"60159000AM0152";"60159";"000AM";52
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-09-01";"Vente";"114000";"15";"None";"RUE";"3475";"DU 67 REGIMENT INFANTERIE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"218";"None";"101";"46";"124";"None";"None";"None";"None";"None";"None";"None";"2";"2.0";"Appartement";"None";"46.0";"2.0";"None";"None";"nan";"60159000AM0218";"60159";"000AM";53
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-26";"Vente";"267000";"3";"None";"SQ";"1396";"FRANCOIS ARAGO";"60200";"COMPIEGNE";"60";"159";"None";"AM";"107";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"None";"0";"1.0";"Maison";"None";"106.0";"5.0";"S";"None";"487.0";"60159000AM0107";"60159";"000AM";54
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-07";"Vente";"107000";"9001";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"257";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";55
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-07";"Vente";"107000";"5";"None";"RUE";"0195";"ANDRE MALRAUX";"60200";"COMPIEGNE";"60";"159";"None";"AM";"289";"None";"218";"61";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"61.0";"3.0";"None";"None";"nan";"60159000AM0289";"60159";"000AM";55
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-07-08";"Vente";"54253";"3";"None";"SQ";"1452";"GABRIEL AUGUSTE ANCELET";"60200";"COMPIEGNE";"60";"159";"None";"AM";"237";"None";"52";"48";"None";"None";"None";"None";"None";"None";"None";"None";"1";"4.0";"Local industriel. commercial ou assimilé";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0237";"60159";"000AM";57
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-06-21";"Vente";"53000";"1";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"76";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";58
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-06-15";"Vente";"60000";"1";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"65";"24";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";59
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-06-16";"Vente";"54000";"24";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"37";"27";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";60
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-30";"Vente";"63000";"26";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"150";"27";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";61
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-20";"Vente";"58000";"3";"None";"RUE";"1667";"GEORGES FOREST";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"94";"28";"None";"None";"None";"None";"None";"None";"None";"None";"1";"2.0";"Appartement";"None";"27.0";"1.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";62
"None";"None";"None";"None";"None";"None";"None";"000001";"2016-05-20";"Vente";"58000";"22";"None";"AV";"2430";"DES MARTYRS DE LA LIBERTE";"60200";"COMPIEGNE";"60";"159";"None";"AM";"214";"None";"238";"None";"None";"None";"None";"None";"None";"None";"None";"None";"1";"3.0";"Dépendance";"None";"0.0";"0.0";"None";"None";"nan";"60159000AM0214";"60159";"000AM";62
